Record number,Call number,Title,Published,Description,Note,Summary,Reproduction note,biographical or historical note,Ownership and custodial history,Subject - name,Subject - topical ,Link
.b18306135,BA1011/128,Portrait of Private A. Dring,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Dring is standing, wearing a slouch hat and puttees. See also 108124PD.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Dring, A.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,128PD.jpg"
.b18306172,BA1011/127,Portrait of Private Eddy,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Eddy is seated, wearing a Field Service cap, AIF badges and leather leggings.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Eddy,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,127PD.jpg"
.b18307693,BA1011/129,Portrait of Private I.H.P.H. Drew,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Drew is seated, wearing a Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Drew I. H. P. H.,Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,129PD.jpg"
.b18307723,BA1011/130,Portrait of T.J. Dunn,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"T.J. Dunn is seated, wearing a slouch hat and Sam Browne belt.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Dunn T. J.,Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,130PD.jpg"
.b18312779,BA1011/379,Portrait of T. Gill,1914-1918.,1 photonegative :,,"T. Gill is standing, wearing a Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Gill, T.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,379PD.jpg"
.b18312792,BA1011/380,Portrait of T. Gill,1914-1918.,1 photonegative :,,"T. Gill is sitting, wearing a wrist watch, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Gill, T.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,380PD.jpg"
.b18312809,BA1011/381,Portrait of Graham,1914-1918.,1 photonegative :,,"Graham is standing, wearing a Field Service cap, badges, bandolier, leggings and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,Graham,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,381PD.jpg"
.b18313012,BA1011/382,Portrait of J. Grinson,1914-1918.,1 photonegative :,,"J. Grinson is standing, wearing a Field Service cap, badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Grinson, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,382PD.jpg"
.b18313024,BA1011/383,Portrait of J. Grace,1914-1918.,1 photonegative :,,"J. Grace is standing, wearing a Field Service cap, belt and pouches, haversack, badges and water bottle.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Grace, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,383PD.jpg"
.b18313036,BA1011/384,Portrait of D.G. Graham,1914-1918.,1 photonegative :,Two images on one plate.,"Waist length portrait of D.G. Graham, wearing a Field Service cap and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,Graham D. G.,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,384PD.jpg"
.b18313073,BA1011/385,Portrait of Goodchild,1914-1918.,1 photonegative :,,"Goodchild is standing, wearing a Field Service cap and badges, puttees and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,Goodchild,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,385PD.jpg"
.b18313097,BA1011/386,Portrait of Corporal Douglas Wallace Gallaher,1914,1 negative :,,"Corporal Gallaher is half-sitting, wearing a slouch hat, badges and puttees.His regimental number was 654 and he enlisted on 26 October 1914. He died on 3rd June, 1916.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Gallaher, Douglas Wallace,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,386PD.jpg"
.b18313140,BA1011/387,Portrait of R. Godfrey,1914-1918.,1 photonegative :,,"R. Godfrey is standing, wearing a Field Service cap, badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Godfrey, R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,387PD.jpg"
.b18313164,BA1011/388,Portrait of P.R. Grover,1914-1918.,1 photonegative :,,"P.R. Grover is sitting, wearing a Field Service cap, badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Grover, P. R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,388PD.jpg"
.b18313176,BA1011/389,Portrait of J. Gillett,1914-1918.,1 photonegative :,,"J. Gillett is sitting, wearing a Field Service cap, badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Gillett, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,389PD.jpg"
.b18313218,BA1011/390,Portrait of W.E. Gilet,1914-1918.,1 photonegative :,Two images on one plate.,Head and shoulders portraits of W.E.Gilet. In one he is wearing a Field Service cap and collar badges. In the second he wearing collar badges.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Gilet, W. E.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,390PD.jpg"
.b18313231,BA1011/391,Portrait of J. Grace,1914-1918.,1 photonegative :,,"J. Grace is sitting, wearing a Field Service cap, belt and pouches, water bottle(s) and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Grace, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,391PD.jpg"
.b18313279,BA1011/392,"Portrait of three figures, one of whom is P.R. Glover",1914-1918.,1 photonegative :,,"Portrait shows three figures, one of whom is identified as P.R. Glover. All are wearing Field Service caps, badges and puttees. Two are sitting, one is standing.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Glover, P. R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,392PD.jpg"
.b18313309,BA1011/393,Portrait of Roy Godfrey,1914-1918.,1 photonegative :,,"Roy Godfrey is sitting wearing badges, puttees and a wrist watch.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Godfrey, Roy",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,393PD.jpg"
.b18313358,BA1011/394,Portrait of Corporal L. Gibbons,1914-1918.,1 photonegative :,Two images on one plate.,"A Leonard Gibbons served in the 28th Battalion and later went on to become town clerk of Guildford and wrote the book Guildford, 1829-1929: a century of progress.;Waist length portrait of L. Gibbons, wearing a Field Service cap and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 65 (S).,"Gibbons,  L.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,394PD.jpg"
.b18315331,BA1011/27,Portrait of Lewis Harrington Stafford,1914-1918.,1 photonegative :,,"Lewis Harrington Stafford, of the 10th Australian Light Horse, is wearing a slouch hat with emu plume, Australian Infantry force collar badge, bandolier, leather leggings and spurs, and holding a riding crop.;Adopted by Margaret Hutchinson.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Stafford, Lewis Harrington",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,027PD.jpg"
.b18315367,BA1011/28,Portrait of Blain,1914-1918.,1 photonegative :,Two images on one plate.,"Head and shoulders portrait of Blain, wearing an Australian Infantry force Field Service cap, cap badge, and a bandage on neck.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,Blain,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,028PD.jpg"
.b18315409,BA1011/29,Portrait of J.A. Stewart,1915,1 negative :,,"J.A. Stewart, of the 10th Australian Light Horse, is seated, wearing an Australian Infantry force collar badge, leggings and spurs, and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Stewart, James Alexander",Soldiers;Horsemen and horsewomen;Spurs;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,029PD.jpg"
.b18315422,BA1011/30,Portrait of Lieutenant R Shaw,1914-1918.,1 photonegative :,,Lieutenant R Shaw wearing puttees.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Shaw, Lieutenant R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,030PD.jpg"
.b18315446,BA1011/31,Portrait of H. Snook,1914-1918.,1 photonegative :,Two images on one plate.,"Head and shoulders portrait of H. Snook, who is wearing Medical Corps badge on sleeve, Australian Infantry force badge, cap and collar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Snook, H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,031PD.jpg"
.b18315471,BA1011/32,Portrait of Frank Smith,1914-1918.,1 photonegative :,,"Frank Smith is standing, wearing a Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Smith, Frank",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,032PD.jpg"
.b18315495,BA1011/33,Portrait of W. Stewart,1914-1918.,1 photonegative :,Two images on one plate.,"W. Stewart is wearing a Field Service cap with badge, 16th Battalion colour patch and Australia badge on epaulette.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Stewart, W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,033PD.jpg"
.b18315537,BA1011/34,Portrait of Sergeant Milford Desmond Smith,1915,1 negative :,,"M.D. Smith, of the 10th Australian Light Horse, is seated, wearing a slouch hat with emu plume, spurs, and holding a riding crop.;Adopted by W O'Neil.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Smith, Milford Desmond",Soldiers;Horsemen and horsewomen;Spurs;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,034PD.jpg"
.b18315550,BA1011/35,Portrait of F.E. Sharp,1914-1918.,1 photonegative :,Two images on one plate.,"F.E. Sharp, of the 16th Battalion is wearing an Australian Infantry force badge on collar, 16th Battalion INF on epaulette and Australia badge.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Sharp, F. E.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,035PD.jpg"
.b18315574,BA1011/36,Portrait of Sergeant Milford Desmond Smith,1915,1 negative :,,"M.D. Smith, of the 10th Australian Light Horse, is wearing emu plumes, spurs, and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Smith, Milford Desmond",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,036PD.jpg"
.b18315598,BA1011/37,Portrait of B. Shields,1914-1918.,1 photonegative :,,"B. Shields, of the 11th Battalion, is seated, wearing puttees, 11th Battalion on epaulette and is holding his hat.;Adopted by J.T.Rogers.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 106 (S).,"Shields, B.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,037PD.jpg"
.b18557090,BA1126/1,Portrait of Carroll,1914-1918.,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Carroll is in the 10th Light Horse, he is wearing bandolier, leggings and spurs, slouch hat with plume.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Carroll,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,710PD.jpg"
.b18557302,BA1126/2,Portrait of Carroll,1914-1918.,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Carroll is in the 10th Light Horse, wearing bandolier, leggings and spurs, slouch hat with plume and a bayonet.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Carroll,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,711PD.jpg"
.b18559384,BA1126/3,Portrait of Carroll,1914-1918.,1 photonegative :,This is the same image as 108711P.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"In 10th Light Horse uniform with bandolier, leggings and spurs, slouch hat with plume and bayonet.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Nagative deteriorated. Box 1.,Carroll,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,712PD.jpg"
.b18559438,BA1126/4,Portrait of Carroll,1914-1918.,1 photonegative :,"Carroll has a distinctive moustache, he is not the same Carroll as for 108710-712P.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.",In uniform.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Carroll,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,713PD.jpg"
.b18559475,BA1126/5,Portrait of Wilson,1914-1918.,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"AIF badges, 11th Battalion, no hat, swan badge on pocket, with a woman, a child and a dog.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Wilson,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,714PD.jpg"
.b18559554,BA1126/6,Portrait of Wilson,1914-1918.,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"AIF badges, 11th battalion, swan badge on pocket, with a woman, a child and a dog.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Wilson,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,715PD.jpg"
.b1855958x,BA1126/7,Portrait of Thomas Walden Wrout,1915,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Wearing a Field Service cap, AIF badges. With a dog.;Adopted by L.M.& C.E.Cornish.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Wrout, Thomas Walden",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,716PD.jpg"
.b18573502,BA1126/8,Portrait of Thomas Walden Wrout,1915,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Wearing Field Service cap, AIF badges, white armband, with dog.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Wrout, Thomas Walden",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,717PD.jpg"
.b18573526,BA1126/9,Portrait of Roberts,1914-1918.,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,Head and shoulders shot of artillery sergeant.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Roberts,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,718PD.jpg"
.b1857354x,BA1126/10,Portrait of Private Beckett,1914-1918.,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private, wearing Field Service cap, waist length shot.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Beckett,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,719PD.jpg"
.b18573563,BA1126/11,Portrait of Corporal Cruthers,1914-1918.,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Corporal, wearing a slouch hat, possibly 16th Battalion.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Cruthers,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,720PD.jpg"
.b18573575,BA1126/12,Portrait of Bonnafond,1914-1918.,1 photonegative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Wearing military uniform, no hat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Bonnafond,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,721PD.jpg"
.b18731260,BA1011/595,Portrait of Des Sykes,1914-1918.,1 photonegative :,,"Driver Des Sykes is wearing leather leggings, riding breeches and a Field Service hat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Sykes, Des",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,595PD.jpg"
.b18734108,BA1011/596,Portrait of Private W.A. Sharman,1914-1918.,1 photonegative :,,"Private W.A. Sharman is wearing puttees, Field Service cap, no AIF badges visible.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Sharman, W. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,596PD.jpg"
.b18734121,BA1011/597,Portrait of Private David Scott,1914-1918.,1 photonegative :,,"Private David Scott, Signaller, is wearing AIF badges on collar and no hat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Scott, David",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,597PD.jpg"
.b18734169,BA1011/598,Portrait of Private B.(J). Shipway,1914-1918.,1 photonegative :,,"Private Shipway, Bugler, is wearing puttees, Field Service cap, AIF badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Shipway, B. (J)",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,598PD.jpg"
.b18963079,BA1011/599,Portrait of Private Shafto,1914-1918.,1 photonegative :,,"Private Shafto, is wearing a Field Service cap, leggings, AIF badges. RAAMC Ambulance Driver, unusual badge above + red. Carrying a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Shafto,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,599PD.jpg"
.b18963547,BA1011/600,Portrait of Private Hinkley,1914-1918.,1 photonegative :,,"Private Hinkley is seated with his wife, wearing puttees. No AIF badges are visible.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Hinkley,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,600PD.jpg"
.b18963626,BA1011/601,Portrait of Private Theo Smith,1914-1918.,1 photonegative :,Two images on one plate.,Two waist length portraits of Private Theo Smith wearing a Field Service hat. No badges visible.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Smith, Theo",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,601PD.jpg"
.b18963663,BA1011/602,Portrait of Private P.M. Davies,1914-1918.,1 photonegative :,,"Private P.M. Davies is wearing puttees, Field Service cap and AIF badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Davies, P. M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,602PD.jpg"
.b18963699,BA1011/603,Portrait of Private G. Higham,1914-1918.,1 photonegative :,,"Private G. Higham is with his civilian brother wearing a Field Service cap, AIF badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Higham, G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,603PD.jpg"
.b18963791,BA1011/604,Portrait of Private Geo Sharp,1914-1918.,1 photonegative :,,"Private Geo Sharp is wearing a Field Service hat, puttees, AIF badges and is holding a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Sharp, Geo",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,604PD.jpg"
.b18963808,BA1011/605,Portrait of Private Sanderson,1914-1918.,1 photonegative :,,"Private Sanderson has a moustache, and is wearing a Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Sanderson,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,605PD.jpg"
.b18963821,BA1011/606,Portrait of Private J.J. Snellman,1914-1918.,1 photonegative :,,"Private J.J. Snellman is seated, with his cane on the back of a chair. He is wearing a Field Service hat, puttees. No AIF badges are visible.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Snellman, J. J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,606PD.jpg"
.b18964394,BA1011/607,Portrait of Private F.H. Ward,1914-1918.,1 photonegative :,,No information given on Private F.H. Ward.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Ward, F. H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,607PD.jpg"
.b18964412,BA1011/608,Portrait of Private Herbert William Wylde,1914,"1 photonegative :;Biography and photograph published in Australia's fighting sons of the Empire, p.28. Also photograph published in the Western Mail 16 July 1915, p.26. Photograph probably taken in 1914 before embarking for Egypt. He was killed at Gallipoli 2 May 1915.",,No information given on Private Wylde.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Wylde,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,608PD.jpg"
.b18964448,BA1011/609,Portrait of Private S. Curtis,1914-1918.,1 photonegative :,,"Private S. Curtis is with a family group of 2 women, a boy and a man. (see also 108662).","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Curtis, S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,609PD.jpg"
.b18964473,BA1011/610,Portrait of Private W.H. Siggs,1914-1918.,1 photonegative :,,Private W.H. Siggs is wearing puttees and a Field Service cap.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Siggs, W. H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,610PD.jpg"
.b18964515,BA1011/611,Portrait of Private E.A. Watkins,1914-1918.,1 photonegative :,,"Private E.A. Watkins is wearing leggings, Field Service cap. A drum and sticks is also visible.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Watkins, E. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,611PD.jpg"
.b18964540,BA1011/612,Portrait of J.L. Wells,1914-1918.,1 photonegative :,,Waist length portrait of Private Wells wearing a Field Service cap.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Wells, J. L.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,612PD.jpg"
.b18964564,BA1011/613,Portrait of F.H. Ward,1914-1918.,1 photonegative :,,Two figures one wearing a slouch hat and 1 wearing a Field Service hat and puttees.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Ward, F. H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,613PD.jpg"
.b1896476x,BA1011/614,Portrait of W. Walker,1914-1918.,1 photonegative :,,"Two waist length portraits of W. Walker, one wearing a Field Service hat and one with no hat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Walker, W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,614PD.jpg"
.b18964886,BA1011/615,Portrait of Private Arthur Llewellyn Saunders,1917,1 negative :,"Dated: 27.10.17.;Brief biographical information and this photograph published in Australia's fighting sons of the Empire, p.179. Arthur Llewellyn Saunders enlisted 18 August 1915 and left Australia on the Mongolia 22 November 1915.",Private Saunders is wearing a slouch hat and puttees. (See also 108619).,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Saunders, Arthur Llewellyn,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,615PD.jpg"
.b18973383,BA1011/616,Joseph and Charles Woodthorpe.,,1 negative :,,"Standing is Charles A. Woodthorpe born Newcastle, NSW 6 September 1893 died Perth 6 December 1960. Enlisted in Perth 23 December 1916 and embarked for France 28 December 1916. Returned to Australia 11 May 1919. He worked in his father's butchering shops in North Perth.;Seated is Joseph P. Woodthorpe born Newcastle NSW 17 March 1897 died Perth 23 May 1946. Enlisted in Perth 23 December 1915 and embarked for France 23 December 1916. He was gassed in France and suffered of the effects for the rest of his life. He was discharged from the army 19 May 1919 and also worked in his father's butcher shops in North Perth. (Information supplied by Joseph's son W.J. Woodthorpe 2014)","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Woodthorpe, Charles Augustus,;Woodthorpe, Joseph Patrick,",Soldiers;Online image.,http://purl.slwa.wa.gov.au/slwa_b1897338_1
.b18973528,BA1011/617,Portrait of C.A. Watkins,1914-1918.,1 photonegative :,,Waist length portrait of C.A. Watkins. No hat visible.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Watkins, C. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,617PD.jpg"
.b18973619,BA1011/618,Portrait of Lieutenent Wylie,1914-1918.,1 photonegative :,,"Lieutenent Wylie is wearing a Field Service cap, Sam Brown belt and a service ribbon.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Wylie,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,618PD.jpg"
.b18973668,BA1011/619,Portrait of Private A.L. (Arthur Llewellyn) Saunders,1915,1 negative :,,Waist length portrait of private Saunders. No hat visible.;Arthur Llewellyn Saunders enlisted 18 August 1915 and left Australia on the Mongolia 22 November 1915.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Saunders, Arthur Llewellyn,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,619PD.jpg"
.b18973760,BA1011/620,Portrait of Private J.G. Moran,1914-1918.,1 photonegative :,,"Private Moran is wearing a cap, leggings and is holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Moran, J. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,620PD.jpg"
.b18973851,BA1011/621,Portrait of Private M. Barker,1914-1918.,1 photonegative :,,"Private Barker is wearing a uniform, hat, leggings and carrying a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Barker, M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,621PD.jpg"
