Bibliographic record number,Collection number,Creator,Title,Date of creation,Description,Notes,Summary,Subject: Personal,Subject: Topical,Subject: Geographical,Captions for URLs,URLs
b42172925,"ACC 3471A/1-1A,64","Omond, William,",James Leslie Turner World War I postcards sent by William Omond.,1916-1917.,3 postcards :;1 online resource (6 image files) :,Digital preservation in TIFF format.,"Three postcards from William Omond of New South Wales, to Mr W. M. Turner, father of James Leslie Turner (Jim or Les) who was also serving the Australian Imperial Force (A. I. F.) in the World War I. Postcards are sent from England.","Osmond, William,;Turner, James Leslie,","Soldiers;World War, 1914-1918;World War, 1914-1918",Great Britain;Marseille (France),"ACC 3471/1: Postcard of Heliopolis sent from Alexandria, 30 Mar 1916;ACC 3471/1: Postcard of Heliopolis sent from Alexandria, 30 Mar 1916;ACC 3471A/1A: Postcard of Birmingham sent from Birmingham, 7 Jan 1917;ACC 3471A/1A: Postcard of Birmingham sent from Birmingham, 7 Jan 1917;view the list of items in this collection.",http://purl.slwa.wa.gov.au/slwa_b4217292_1;http://purl.slwa.wa.gov.au/slwa_b4217292_2;http://purl.slwa.wa.gov.au/slwa_b4217292_3;http://purl.slwa.wa.gov.au/slwa_b4217292_4;http://www.slwa.wa.gov.au/pdf/mn/mn1001_1500/mn1165_2.pdf  ;http://purl.slwa.wa.gov.au/slwa_b4217292_1.png;http://purl.slwa.wa.gov.au/slwa_b4217292_2.png;http://purl.slwa.wa.gov.au/slwa_b4217292_3.png;http://purl.slwa.wa.gov.au/slwa_b4217292_4.png;http://www.slwa.wa.gov.au/pdf/mn/mn1001_1500/mn1165_2.pdf.png
b4227123x,3045B/375,,"10th Light Horse Battalion volunteers at Blackboy Hill including Hugo Throssell, October 1914.",1914,1 photograph :,"Title written on photograph.;The donor has dated this September 1914, however Hugo Throssell did not enlist until October 1914.","Hugo Throssell (standing in front of the tent). Captain Hugo Vivien Hope Throssell VC of the 10th Australian Light Horse Regiment, who enlisted on 5 October 1914 and returned to Australia on 4 September 1918. Throssell was awarded the Victoria Cross for most conspicuous bravery at Kaiakij Aghala (Hill 66), Gallipoli on 3 August 1915.","Throssell, Hugo,","Military training camps;World War, 1914-1918;Online image.",,"3045B/375: 10th Light Horse Battalion volunteers at Blackboy Hill including Hugo Throssell (in front of tent), October 1914",http://purl.slwa.wa.gov.au/slwa_b4227123_1;http://purl.slwa.wa.gov.au/slwa_b4227123_1.png
b42271307,4387B/38,"Webb and Webb,","Hugo Throssell, VC.",approximately 1918.  ,1 photograph :,Title supplied by donor.,,"Throssell, Hugo,",Online image.,,"4387B/38: Hugo Throssell, VC, ca.1918",http://purl.slwa.wa.gov.au/slwa_b4227130_1;http://purl.slwa.wa.gov.au/slwa_b4227130_1.png
b42271551,4387B/42A,,Ross and Lindsay Chipper.,1914,1 photograph :,Title supplied by donor.,Brothers Ross and Lindsay Chipper of the 10th Light Horse Regiment were both killed in action at Gallipoli 7 August 1915.,"Chipper, Ross Richard Vivian,;Chipper, Lindsay Lewis Stirling,",Soldiers;Online image.,,"4387B/42: Ross and Lindsay Chipper, 1914. 10th Light Horse. Both killed in action at Gallipoli 7 August 1915",http://purl.slwa.wa.gov.au/slwa_b4227155_1;http://purl.slwa.wa.gov.au/slwa_b4227155_1.png
b42271563,4387B/42B,,"Ross and Lindsay Chipper, a newspaper clipping with photographs announcing their deaths at Gallipoli on 7 August 1915.",1915,1 newspaper clipping :,"Title supplied by donor.;Clipping from the Western Mail 17 September 1915, Illustrated Section, p.1 [p.1S in Trove]",Brothers Ross and Lindsay Chipper of the 10th Light Horse Regiment were both killed in action at Gallipoli 7 August 1915.,"Chipper, Ross Richard Vivian,;Chipper, Lindsay Lewis Stirling,",Soldiers;Online image.,,"4387B/42B: Ross and Lindsay Chipper, a newspaper clipping with photographs announcing their deaths at Gallipoli on 7 August 1915",http://purl.slwa.wa.gov.au/slwa_b4227156_1;http://purl.slwa.wa.gov.au/slwa_b4227156_1.png
b42291276,5195B/94,"Park, C.H.","Leederville Cadets G Company 87th Battalion parade in Vincent Street, Leederville, April 1913.",1913,1 photograph :,"Title from published captions.;Two different photographs of these cadets in front of John B. Fraser's store at 73 Vincent St, Leedeville are published in the Sunday Times 20 April 1913, p.3 and Western Mail 18 April 1913, p.31.;Found on page 94 of an album of photographs of the Tammin army camp held in March 1913.",,,Military cadets;Online image.,,"5195B/94: Leederville Cadets G Company 87th Battalion parade in Vincent Street, Leederville, April 1913",http://purl.slwa.wa.gov.au/slwa_b4229127_1;http://purl.slwa.wa.gov.au/slwa_b4229127_1.png
b42291288,5195B/37,"Park, C.H.","Band of the 11th Australian Infantry Regiment, W.A. at the Tammin training camp, March 1913.",1913,1 photograph :,Title from published captions.;Found on page 37 of an album of photographs of the Tammin army camp held in March 1913 available online at 5195B.,"The name of the XI (11th) A.I.R. W.A. is seen on the drum in the foreground. In 1903 the Perth Rifle Volunteers was renamed as the 11th Australian Infantry Regiment. On the outbreak of the First World War, volunteers from the 11th Regiment were recruited into the 11th Battalion of the Australian Imperial Force.",,Soldiers;Military bands;Online image.,,"5195B/37: Band of the 11th Australian Infantry Regiment, W.A. at the Tammin training camp, March 1913",http://purl.slwa.wa.gov.au/slwa_b4229128_1;http://purl.slwa.wa.gov.au/slwa_b4229128_1.png
b4229129x,5195B/99,"Park, C.H.","Soldiers in rail trucks preparing to leave Tammin after the training camp, March 1913.",1913,1 photograph :,Title from published captions.;Found on page 99 of an album of photographs of the Tammin army camp held in March 1913 available online at 5195B.,,,Soldiers;Railroads;Military camps;Online image.,,"5195B/99: Soldiers in rail trucks preparing to leave Tammin after the training camp, March 1913",http://purl.slwa.wa.gov.au/slwa_b4229129_1;http://purl.slwa.wa.gov.au/slwa_b4229129_1.png
b42341176,BA2676,"Dease Studios,","First Anzac Day luncheon celebration held at Perth Town Hall and St. George's Hall, 25th April, 1916.",1916,1 photograph :;1 photograph :,"BA2676/1 framed with invitation, menus and flyers for the luncheon.;The Soldiers' Welcoming Committee of Western Australia was formed in September 1915 with the object of comforting returning soldiers, enterataing and generally working for the benefit of members of the Expeditionary Forces.  The majority of members were women and the Committee was chaired by Edith Cowan. On the 25th April 1916, the soldiers marched from the corner of James and Barrack Streets through the city to The Esplanade where they were inspected by His Excellency the Governor. After the march the Soldiers' Welcoming Committee held a luncheon in the Perth Town Hall for those who had participated in the landing at Gallipoli. The response to the luncheon was so positive that plans were changed just days vefore the occasion to welcome home  all World War 1 soldiers and the lunch was held across two sites, at the Perth Town Hall and St Georges Hall. The men in the Town Hall were representative of the battalions which went ashore on the first day at Gallipoli. (An article describing the event is published in Kalgoorlie Miner 26 April 1916, p.4);There are two different photographs of these functions published in the Western Mail 28 April 1916, p.25.",,,"Anzac Day;World War, 1914-1918;World War, 1914-1918;Interiors;Online image.","Perth Town Hall (Perth, W.A.);St George's Hall (Perth, W.A.)","BA2676/1: First Anzac Day luncheon celebration held at Perth Town Hall and St George's Hall, 25th April, 1916;BA2676/1/3: Front: Menu and toast list for the First Anzac Day luncheon held at Perth Town Hall, 25th April, 1916;BA2676/1/2: Back: Menu and toast list for the First Anzac Day luncheon held at Perth Town Hall, 25th April, 1916;BA2676/1/4: Front: Menu and toast list for the First Anzac Day luncheon held at St George's Hall, 25th April, 1916.;BA2676/1/1: Back: Menu and toast list for the First Anzac Day luncheon held at St George's Hall, 25th April, 1916.;BA2676/1/5: Invitation to the First Anzac Day luncheon held at the Perth Town Hall, 25th April 1916;BA2676/2: St George's Hall prepared for the First Anzac Day luncheon held 25th April 1916",http://purl.slwa.wa.gov.au/slwa_b4234117_1;http://purl.slwa.wa.gov.au/slwa_b4234117_2;http://purl.slwa.wa.gov.au/slwa_b4234117_3;http://purl.slwa.wa.gov.au/slwa_b4234117_4;http://purl.slwa.wa.gov.au/slwa_b4234117_5;http://purl.slwa.wa.gov.au/slwa_b4234117_6;http://purl.slwa.wa.gov.au/slwa_b4234117_7;http://purl.slwa.wa.gov.au/slwa_b4234117_1.png;http://purl.slwa.wa.gov.au/slwa_b4234117_2.png;http://purl.slwa.wa.gov.au/slwa_b4234117_3.png;http://purl.slwa.wa.gov.au/slwa_b4234117_4.png;http://purl.slwa.wa.gov.au/slwa_b4234117_5.png;http://purl.slwa.wa.gov.au/slwa_b4234117_6.png;http://purl.slwa.wa.gov.au/slwa_b4234117_7.png
b42404885,ACC 3471A/27-33,"Turner, Leslie,",James Leslie Turner World War I postcards from 2 September to 2 October 1916 sent from London.,1916,7 postcards :;1 online resource (14 image files) :,,Postcards sent by Leslie Turner to his parents and sister May when he was in London for a holiday from 2 September to 2 October 1916 sent from London. He mentions Zeppelin airships being shot down.,"Turner, Leslie,","Soldiers;World War, 1914-1918;World War, 1914-1918",Great Britain,"ACC 3471A/27: Postcard of London sent from London, 2 Sep 1916;ACC 3471A/27: Postcard of London sent from London, 2 Sep 1916;ACC 3471A/28: Postcard of London sent from London, 23 Sep 1916;ACC 3471A/28: Postcard of London sent from London, 23 Sep 1916;ACC 3471A/29: Postcard of London sent from London, 23 Sep 1916;ACC 3471A/29: Postcard of London sent from London, 23 Sep 1916;ACC 3471A/30: Postcard of London sent from London, 24 Sep 1916;ACC 3471A/30: Postcard of London sent from London, 24 Sep 1916;ACC 3471A/31: Postcard of London sent from London, 27 Sep 1916;ACC 3471A/31: Postcard of London sent from London, 27 Sep 1916;ACC 3471A/32: Postcard of London sent from London, 2 Oct 1916;ACC 3471A/32: Postcard of London sent from London, 2 Oct 1916;ACC 3471A/33: Postcard of London sent from London, 2 Oct 1916;ACC 3471A/33: Postcard of London sent from London, 2 Oct 1916;view the list of items in this collection.",http://purl.slwa.wa.gov.au/slwa_b4240488_1;http://purl.slwa.wa.gov.au/slwa_b4240488_2;http://purl.slwa.wa.gov.au/slwa_b4240488_3;http://purl.slwa.wa.gov.au/slwa_b4240488_4;http://purl.slwa.wa.gov.au/slwa_b4240488_5;http://purl.slwa.wa.gov.au/slwa_b4240488_6;http://purl.slwa.wa.gov.au/slwa_b4240488_7;http://purl.slwa.wa.gov.au/slwa_b4240488_8;http://purl.slwa.wa.gov.au/slwa_b4240488_9;http://purl.slwa.wa.gov.au/slwa_b4240488_10;http://purl.slwa.wa.gov.au/slwa_b4240488_11;http://purl.slwa.wa.gov.au/slwa_b4240488_12;http://purl.slwa.wa.gov.au/slwa_b4240488_13;http://purl.slwa.wa.gov.au/slwa_b4240488_14;http://www.slwa.wa.gov.au/pdf/mn/mn1001_1500/mn1165_4.pdf  ;http://purl.slwa.wa.gov.au/slwa_b4240488_1.png;http://purl.slwa.wa.gov.au/slwa_b4240488_2.png;http://purl.slwa.wa.gov.au/slwa_b4240488_3.png;http://purl.slwa.wa.gov.au/slwa_b4240488_4.png;http://purl.slwa.wa.gov.au/slwa_b4240488_5.png;http://purl.slwa.wa.gov.au/slwa_b4240488_6.png;http://purl.slwa.wa.gov.au/slwa_b4240488_7.png;http://purl.slwa.wa.gov.au/slwa_b4240488_8.png;http://purl.slwa.wa.gov.au/slwa_b4240488_9.png;http://purl.slwa.wa.gov.au/slwa_b4240488_10.png;http://purl.slwa.wa.gov.au/slwa_b4240488_11.png;http://purl.slwa.wa.gov.au/slwa_b4240488_12.png;http://purl.slwa.wa.gov.au/slwa_b4240488_13.png;http://purl.slwa.wa.gov.au/slwa_b4240488_14.png;http://www.slwa.wa.gov.au/pdf/mn/mn1001_1500/mn1165_4.pdf.png
