Creator,Title,Edition,Publication details,Physical description,Notes,Contents,Summary,Subject - Personal name,Subject - Corporate name,Subject - Topical,Subject - geographic,Subject - Form/Genre,Subject - Uniform title,Other creator,ISBN,Series,Other formats,URL
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the Serre Road No. 2 group of cemeteries, France /compiled and published by order of the Imperial War Graves Commission, London.",,"London, England :Imperial War Graves Commission,1936.","2 v. :4 maps, 2 plans ;26 cm.","At head of cover title: France 1890-1892. ; ""About two-thirds of its [Serre Road Cemetery No. 2] area is in Beaumont-Hamel (Somme), and about one third in Hebuterne (Pas-de-Calais).""--p. [7]. ; There is only one soldier (English) listed for Beaumetz Communal Cemetery (Somme), index no. 1892.","Pt. 1. Serre Road Cemetery No. 2, Beaumont-Hamel and Hébuterne. A-K -- Pt. 2. Serre Road Cemetery No. 2. L-Z; Thiepval Anglo-French Cemetery, Authuile; Beaumetz Communal Cemetery (Somme)",,,"Serre Road Cemetery No. 2 (Beaumont-Hamel and Hébuterne, France) ; --Thiepval Anglo-French Cemetery (Authuile, France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --World War, 1914-1918--Registers of dead--France--Serre. ; --World War, 1914-1918--Registers of dead--France--Authuile. ; --World War, 1914-1918--Registers of dead--France--Somme. ; --Cemeteries--France--Somme. ; --Cemeteries--France--Serre. ; --World War, 1914-1918--Registers of dead--France--Beaumont-Hamel. ; --Cemeteries--France--Authuile. ; --Cemeteries--France--Beaumont-Hamel. ; --World War, 1914-1918--Registers of dead--France--Hébuterne. ; --Cemeteries--France--Hébuterne.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the Southern and Northern cemeteries, Calais, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1922.","43 p. :map, 2 plans ;26 cm.","At head of cover title: France 8 and 9. ; Cover subtitle: Calais Southern Cemetery, Calais Northern Cemetery, France.",,,,Calais Northern Cemetery (France) ; --Calais Southern Cemetery (France),"World War, 1914-1918--Registers of dead--Commonwealth countries. ; --World War, 1914-1918--Registers of dead--France--Calais. ; --Cemeteries--France--Calais.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the St. Pol and Hesdin groups of cemeteries, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1929.","41 p. :2 maps, 3 plans ;26 cm.",At head of cover title: France 787-797.,"Anvin Churchyard -- Auchy-lès-Hesdin Communal Cemetery -- Hesdin Communal Cemetery, Marconne --Huby-St. Leu Churchyard -- Huby-St. Leu British Cemetery -- Rollencourt Churchyard -- St. George's Churchyard -- St. Pol British Cemetery, St. Pol-sur-Ternoise -- St. Pol Communal Cemetery Extension -- Teneur Churchyard --Vieil-Hesdin Churchyard.",,,"Huby-St. Leu British Cemetery (France) ; --Huby-St. Leu Churchyard (France) ; --St. Pol British Cemetery (St. Pol-sur-Ternoise, France) ; --St. Pol Communal Cemetery Extension (St. Pol-sur-Ternoise, France) ; --Auchy-lès-Hesdin Communal Cemetery (Hesdin, France) ; --Hesdin Communal Cemetery (Marconne, France) ; --Vieil-Hesdin Churchyard (Hesdin, France) ; --Rollencourt Churchyard (Hesdin, France) ; --Teneur Churchyard (Hesdin, France) ; --St. George's Churchyard (Hesdin, France) ; --Anvin Churchyard (France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Hesdin. ; --Cemeteries--France--St. Pol-sur-Ternoise. ; --World War, 1914-1918--Registers of dead--France--Hesdin. ; --World War, 1914-1918--Registers of dead--France--St. Pol-sur-Ternoise.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the St. Souplet group of cemeteries, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1930.","52 p. :map, 4 plans ;26 cm.","At head of cover title: France 1266-1275. ; All the burial grounds are in the Dept. of the Nord, except for La Vallée-Mulâtre, Vaux-Andigny and Wassigny, which are in the Dept. of the Aisne.",Bazuel Communal Cemetery (Nord)--La Vallée Mulâtre Communal Cemetery--La Vallée Mulâtre Communal Cemetery Extension--Le Rejet-de-Beaulieu Communal Cemetery--Mazinghien Communal Cemetery--St. Benin Communal Cemetery(Nord)--St.Souplet British Cemetery --Vaux-Andigny Communal Cemetery--Vaux-Andigny British Cemetery--Wassigny Communal Cemetery.,,,St. Souplet British Cemetery (France) ; --Vaux-Andigny British Cemetery (France) ; --La Vallée Mulâtre Communal Cemetery (France),"World War, 1914-1918--Registers of dead--France--Bazuel. ; --World War, 1914-1918--Registers of dead--France--Nord. ; --World War, 1914-1918--Registers of dead--France--Aisne. ; --World War, 1914-1918--Registers of dead--France--Wassigny. ; --World War, 1914-1918--Registers of dead--France--Mazinghien. ; --World War, 1914-1918--Registers of dead--France--St. Souplet. ; --World War, 1914-1918--Registers of dead--France--Vaux-Andigny. ; --World War, 1914-1918--Registers of dead--France--Le Rejet-de-Beaulieu. ; --World War, 1914-1918--Registers of dead--France--St. Benin. ; --World War, 1914-1918--Registers of dead--France--La Vallée-Mulâtre. ; --Cemeteries--France--La Vallée-Mulâtre. ; --Cemeteries--France--Le Rejet-de-Beaulieu. ; --Cemeteries--France--Aisne. ; --Cemeteries--France--Nord. ; --Cemeteries--France--St. Benin. ; --Cemeteries--France--St. Souplet. ; --Cemeteries--France--Vaux-Andigny. ; --World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Wassigny. ; --Cemeteries--France--Bazuel. ; --Cemeteries--France--Mazinghien.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the Steenwerck group of cemeteries, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1929.","32 p. :3 maps, 2 plans ;26 cm.","At head of cover title: France 1091-1105. ; Laventie Communal Cemetery, Campagne-les-Wardrecques Churchyard, Mametz Churchyard, Racquinghem Churchyard, and Roquetoire Churchyard are in the Dept. of the Pas-de-Calais; all other burial grounds listed are in the Dept. of the Nord.","Blaringhem Churchyard--Boeseghem Churchyard--Campagne-lès-Wardrecques Churchyard--Croix-du-Bac British Cemetery, Steenwerck--Haverskerque British Cemetery--Haverskerque Churchyard--Laventie Communal Cemetery--Lynde Churchyard--Mametz Churchyard--Morbecque Churchyard--Racquinghem Churchyard--Roquetoire Churchyard--Steenbecque Churchyard--Steenwerck Communal Cemetery--Thiennes Churchyard.",,,"Steenwerck Communal Cemetery (France) ; --Croix-du-Bac British Cemetery (Steenwerck, France) ; --Heverskerque British Cemetery (France) ; --Laventie Communal Cemetery (France) ; --Haverskerque Churchyard (France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Laventie. ; --Cemeteries--France--Haverskerque. ; --Cemeteries--France--Steenwercke. ; --Cemeteries--France--Nord. ; --Cemeteries--France--Pas-de-Calais. ; --World War, 1914-1918--Registers of dead--France--Steenwercke. ; --World War, 1914-1918--Registers of dead--France--Haverskerque. ; --World War, 1914-1918--Registers of dead--France--Laventie. ; --World War, 1914-1918--Registers of dead--France--Pas-de-Calais. ; --World War, 1914-1918--Registers of dead--France--Nord.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the Valenciennes group of cemeteries, France /compiled and published by order of the Imperial War Graves Commission, London.",,"London, England :Imperial War Graves Commission,1929.","54 p. :map, 2 plans ;24 cm.",At head of cover title: France 1142-1156. ; All cemeteries are in the Dept. of the Nord.,"Bruay-sur-l'Escaut Communal Cemetery--Bruille-St. Amand Churchyard--Condé-sur-l'Escaut Communal Cemetery--Mortagne-du-Nord Communal Cemetery--Odomez Communal Cemetery--Onnaing Communal Cemetery--Quarouble Communal Cemetery--Raismes Communal Cemetery--St. Amand-les-Eaux Communal Cemetery--Thivencelle Churchyard--Valenciennes (St. Roch) Communal Cemetery--Vicoigne Communal Cemetery, Raismes--Vicq Communal Cemetery--Vieux-Condé Communal Cemetery.",,,"Valenciennes (St. Roch) Communal Cemetery (France) ; --Condé-sur-l'Escaut Communal Cemetery (France) ; --Vicoigne Communal Cemetery (Raisnes, France) ; --Raismes Communal Cemetery (France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --World War, 1914-1918--Registers of dead--France--Nord. ; --World War, 1914-1918--Registers of dead--France--Raismes. ; --World War, 1914-1918--Registers of dead--France--Valenciennes. ; --World War, 1914-1918--Registers of dead--France--Condé-sur-l'Escaut. ; --Cemeteries--France--Valenciennes. ; --Cemeteries--France--Raismes. ; --Cemeteries--France--Nord. ; --Cemeteries--France--Condé-sur-l'Escaut.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the Vaulx-Vraucourt group of cemeteries, France /compiled and published by order of the Imperial War Graves Commission.",,"London, England :Imperial War Graves Commission,1930.","84 p. :map, 6 plans ;26 cm.",At head of cover title: France 1484-1489. ; All cemeteries listed are in the Dept. of the Pas-de-Calais.,"Croisilles British Cemetery -- L'Homme Mort British Cemetery, Ecoust-St. Mein -- Noreuil Australian Cemetery -- Vaulx Australian Field Ambulance Cemetery -- Vraucourt Copse Cemetery, Vaulx-Vraucourt -- Vaulx Hill Cemetery, Vaulx-Vraucourt.",,,"Vaulx Australian Field Ambulance Cemetery (Vaulx-Vraucourt, France) ; --Vraucourt Copse Cemetery (Vaulx-Vraucourt, France) ; --Vaulx Hill Cemetery (Vaulx-Vraucourt, France) ; --Noreuil Australian Cemetery (France) ; --Croisilles British Cemetery (France) ; --L'Homme Mort British Cemetery (Ecoust-St. Mein, France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --World War, 1914-1918--Registers of dead--France--Noreuil. ; --World War, 1914-1918--Registers of dead--France--Vaulx-Vraucourt. ; --World War, 1914-1918--Registers of dead--France--Croisilles. ; --World War, 1914-1918--Registers of dead--France--Ecoust-St. Mein. ; --World War, 1914-1918--Registers of dead--France--Pas-de-Calais. ; --Cemeteries--France--Pas-de-Calais. ; --Cemeteries--France--Noreuil. ; --Cemeteries--France--Croisilles. ; --Cemeteries--France--Ecoust-St. Mein. ; --Cemeteries--France--Vaulx-Vraucourt. ; --World War, 1914-1918--Registers of dead--Australia.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the Villers-Guislain group of cemeteries, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1928.","60 p. :map, 8 plans ;26 cm.",At head of cover title: France 662-670.,"Metz-en-Couture Communal Cemetery British Extension --Targelle Ravine British Cemetery, Villers-Guislain --Villers-Guislain Communal Cemetery -- Pigeon Ravine Cemetery, Epéhy -- Domino British Cemetery, Epéhy --Villers-Plouich Communal Cemetery -- Sunken Road Cemetery, Villers-Plouich -- Saulcourt Churchyard Extension, Guyencourt-Saulcourt -- Gonnlieu Communal Cemetery.",,,"Targelle Ravine British Cemetery (Villers-Guislain, France) ; --Sunken Road Cemetery (Villers-Plouich, France) ; --Gonnelieu Communal Cemetery (France) ; --Villers-Guislain Communal Cemetery (France) ; --Villers-Plouich Communal Cemetery (France) ; --Pigeon Ravine Cemetery (Epéhy, France) ; --Domino British Cemetery (Epéhy, France) ; --Saulcourt Churchyard Extension (Guyencourt-Saulcourt, France) ; --Metz-en-Couture Communal Cemetery British Extension (France)","World War, 1914-1918--Registers of dead--France--Gonnelieu. ; --World War, 1914-1918--Registers of dead--France--Guyencourt-Saulcourt. ; --World War, 1914-1918--Registers of dead--France--Metz-en-Couture. ; --World War, 1914-1918--Registers of dead--France--Villers-Plouich. ; --World War, 1914-1918--Registers of dead--France--Villers-Guislain. ; --Cemeteries--France--Villers-Guislain. ; --Cemeteries--France--Villers-Plouich. ; --Cemeteries--France--Metz-en-Couture. ; --Cemeteries--France--Guyencourt-Saulcourt. ; --Cemeteries--France--Gonnelieu. ; --World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Epéhy. ; --World War, 1914-1918--Registers of dead--France--Epéhy.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in the western districts of the County of London (comprising the Metropolitan Boroughs of Fulham, Hammersmith, and Kensington) /Compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1929.",68 p. ;26 cm.,At head of cover title: London 4-9.,Brompton Cemetery -- Fulham Old Cemetery -- Fulham (St. Thomas of Canterbury) Roman Catholic Churchyard -- Hammersmith Cemetery -- Kensal Green (All Souls') Cemetery -- Kensal Green (St. Mary's) Roman Catholic Cemetery.,,,"Brompton Cemetery (London, England) ; --Fulham Old Cemetery (London, England) ; --Hammersmith Cemetery (London, England) ; --Kensal Green Cemetery (London, England) ; --St. Mary's Roman Catholic Cemetery (Hammersmith, London, England)","Cemeteries--England--London. ; --World War, 1914-1918--Registers of dead--Commonwealth countries. ; --World War, 1914-1918--Registers of dead--England--London.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Tilloy British Cemetery, Tilloy-les-Mofflaines, France.",,"London, England :Imperial War Graves Commission,1928.","51 p. :map, plan ;26 cm.",At head of cover title: France 581.,,,,"Tilloy British Cemetery (Tilloy-les-Mofflaines, France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --World War, 1914-1918--Registers of dead--France--Tilloy-les-Mofflaines. ; --Cemeteries--France--Tilloy-les-Mofflaines.",,,,,,,,
Great Britain.Imperial War Graves Commission. ,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Tincourt New British Cemetery and Churchyard, Aizecourt-le-Bas Churchyard and Buire Communal Cemetery, France /compiled and published by order of the Imperial War Graves Commission, London.",,"London :Imperial War Graves Commission,1928.","80 p. :map, plan ;26 cm.",At head of cover title: France 446-449.,,,,Aizecourt-le-Bas Churchyard (France) ; --Buire Communal Cemetery (France) ; --Tincourt Churchyard (France) ; --Tincourt New British Cemetery (France),"Cemeteries--France--Tincourt. ; --Cemeteries--France--Buire. ; --Cemeteries--France--Aizecourt-le-Bas. ; --World War, 1914-1918--Registers of dead--France--Buire. ; --World War, 1914-1918--Registers of dead--France--Aizecourt-le-Bas. ; --World War, 1914-1918--Registers of dead--France--Tincourt. ; --World War, 1914-1918--Registers of dead--Commonwealth countries.",,,,,,,,
Great Britain.Imperial War Graves Commission. ,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Trois-Arbres Cemetery and Le Grand Beaumart British Cemetery, Steenwerck, France /compiled and published by order of the Imperial War Graves Commission, London.",,"London :Imperial War Graves Commission,1927.","80 p. :map, 2 plans ;26 cm.",At head of cover title: France 297-8.,,,,"Trois-Arbres Cemetery (France) ; --Le Grand Beaumart British Cemetery (Steenwerck, France)","World War, 1914-1918--Registers of dead--France--Steenwerck. ; --World War, 1914-1918--Registers of dead--France--Trois-Arbres. ; --World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Trois-Arbres. ; --Cemeteries--France--Steenwerck.",,,,,,,,
Great Britain.Imperial War Graves Commission. ,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Unicorn Cemetery, Vend'huile, Vend'huile Communal Cemetery, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1925.","33 p. :map, plan ;26 cm.",At head of cover title: France 212-213.,,,,"Unicorn Cemetery (Vend'huile, France) ; --Vend'huile Communal Cemetery (France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Vend'huile. ; --World War, 1914-1918--Registers of dead--France--Vend'huile.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Vieux-Berquin Communal Cemetery, Sec-Bois Communal Cemetery, Aval Wood Military Cemetery, Nieppe-Bois (Rue-de-Bois) British Cemetery, La Gorgue Communal Cemetery, Lestrem Communal Cemetery and Calonne-sur-la-lys Communal Cemetery, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1927.","36 p. :map, 6 plans ;26 cm.",At head of cover title: France 350-356.,,,,"Aval Wood Military Cemetery (Vieux-Berquin, France) ; --Sec-Bois Communal Cemetery (Vieux-Berquin, France) ; --La Gorgue Communal Cemetery (France) ; --Lestrem Communal Cemetery (France) ; --Vieux-Berquin Communal Cemetery (France) ; --Nieppe-Bois (Rue-de-Bois) British Cemetery (Vieux-Berquin, France) ; --Calonne-sur-la-Lys Communal Cemetery (Calonne, France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Vieux-Berquin. ; --Cemeteries--France--Calonne. ; --Cemeteries--France--La Gorgue. ; --Cemeteries--France--Lestrem. ; --World War, 1914-1918--Registers of dead--France--La Gorgue. ; --World War, 1914-1918--Registers of dead--France--Lestrem. ; --World War, 1914-1918--Registers of dead--France--Calonne. ; --World War, 1914-1918--Registers of dead--France--Vieux-Berquin.",,,,,,,,
Great Britain.Imperial War Graves Commission. ,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Villers-Faucon Communal Cemetery and Extension, Ste Emilie Valley Cemetery, Villers-Faucon, Jeancourt Communal Cemetery Extension and Le Verguier Churchyard, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1927.","61 p. :map, 3 plans ;26 cm.",At head of cover title: France 363-367.,,,,"Villers-Faucon Communal Cemetery (France) ; --Ste Emilie Valley Cemetery (Villers-Faucon, France) ; --Jeancourt Communal Cemetery Extension (France) ; --Le Verguier Churchyard (France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Villers-Faucon. ; --Cemeteries--France--Ste Emilie. ; --Cemeteries--France--Jeancourt. ; --Cemeteries--France--Le Verguier. ; --World War, 1914-1918--Registers of dead--France--Jeancourt. ; --World War, 1914-1918--Registers of dead--France--Villers-Faucon. ; --World War, 1914-1918--Registers of dead--France--Le Verguier. ; --World War, 1914-1918--Registers of dead--France--Ste Emilie.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Vis-en-Artois British Cemetery, Haucourt, and Eterpigny British Cemetery, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1927.","50 p. :map, 2 plans ;26 cm.",At head of cover title: France 421-2.,,,,"Eterpigny British Cemetery (France) ; --Vis-en-Artois British Cemetery (Haucourt, France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Eterpigny. ; --Cemeteries--France--Haucourt. ; --World War, 1914-1918--Registers of dead--France--Haucourt. ; --World War, 1914-1918--Registers of dead--France--Eterpigny.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Wandsworth Cemetery, Nunhead (All Saints) Cemetery and Camberwell (Forest Hill Road) Cemetery, London /Compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1926.",70 p. ;26 cm.,At head of cover title: London 1-3.,,,,"Wandsworth Cemetery (London, England) ; --Camberwell (Forest Hill Road) Cemetery (London, England) ; --Nunhead (All Saints) Cemetery (London, England)","World War, 1914-1918--Registers of dead--England--London. ; --Cemeteries--England--London. ; --World War, 1914-1918--Registers of dead--Commonwealth countries.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Warlencourt British Cemetery, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1928.","77 p. :map, plan ;26 cm.",At head of cover title: France 385.,,,,Warlencourt British Cemetery (France),"World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Warlencourt. ; --World War, 1914-1918--Registers of dead--France--Warlencourt.",,,,,,,,
Great Britain.Imperial War Graves Commission.,The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Warloy-Baillon Communal Cemetery and Extension /compiled and published by order of the Imperial War Graves Commission.,,"London :Imperial War Graves Commission,1922.","64 p. :map, plan ;26 cm.","At head of cover title: France 43 and 44. ; Cover subtitle: Warloy-Baillon Communal Cemetery, Warloy-Baillon Communal Cemetery Extension, France.",,,,Warloy-Baillon Communal Cemetery (France),"World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Warloy-Baillon. ; --World War, 1914-1918--Registers of dead--France--Warloy-Baillon.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried in Wimereux Communal Cemetery, Wimereux, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1923.","2 v. :map, plan ;26 cm.",At head of cover title: France 64.,First part A-L -- second part M-Z.,,,Wimereux Communal Cemetery (France),"World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Wimereux. ; --World War, 1914-1918--Registers of dead--France--Wimereux.",,,,,,,,
Great Britain.Imperial War Graves Commission.,The war graves of the British Empire :the register of the names of those who fell in the Great War and are buried or commemorated in cemeteries in the military districts of Canterbury and Otago New Zealand /compiled and published by order of the Imperial War Graves Commission.,,"London :Imperial War Graves Commission,1933.",41 p. ;25 cm.,At head of cover title: New Zealand 1-121.,,,,,"Cemeteries--New Zealand--Canterbury. ; --Cemeteries--New Zealand--Otago. ; --World War, 1914-1918--Registers of dead--New Zealand--Otago. ; --World War, 1914-1918--Registers of dead--New Zealand--Canterbury. ; --World War, 1914-1918--Registers of dead--Commonwealth countries.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War, and are buried in Cinq Rues British Cemetery, and La Kreule Military Cemetery, Hazebrouck, France /compiled and published by order of the Imperial War Graves Commission.",,"London :Imperial War Graves Commission,1922.","46 p. :map, 2 plans ;26 cm.",At head of cover title: France 24 and 25.,,,,"Cinq Rues British Cemetery (Hazebrouck, France) ; --La Kreule Military Cemetery (Hazebrouck, France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Hazebrouck. ; --World War, 1914-1918--Registers of dead--France--Hazebrouck.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the names of those who fell in the Great War, and are buried in the military cemeteries at Caestre and Borre, France /compiled and published by order of the Imperial War Graves Commission.",2nd ed.,"London :Imperial War Graves Commission,1922.","42 p. :map, 2 plans ;26 cm.","At head of cover title: France 26, 27, 28. ; Cover subtitle: Le Peuplier Military Cemetery, Caestre, Caestre Military Cemetery, Borre British Cemetery, France.",,,,"Borre British Cemetery (France) ; --Caestre Military Cemetery (France) ; --Le Peuplier Military Cemetery (Caestre, France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Caestre. ; --Cemeteries--France--Borre. ; --World War, 1914-1918--Registers of dead--France--Caestre. ; --World War, 1914-1918--Registers of dead--France--Borre.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of the war dead who fell in the Great War and are buried in Villers-Bretonneux Military Cemetery, Villers-Bretonneux Communal Cemetery, Fouilloy Communal Cemetery, and Aubigny British Cemetery (Somme), France /compiled and published by order of the Imperial War Graves Commission, London.",,"London, England :Imperial War Graves Commission,1929.","97 p. :map, 3 plans ;25 cm.",At head of cover title: France 1170-1174.,,,,"Fouilloy Communal Cemetery (Somme, France) ; --Aubigny British Cemetery (Somme, France) ; --Villers-Bretonneux Military Cemetery (Fouilloy, France) ; --Villers-Bretonneux Communal Cemetery (France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --Cemeteries--France--Somme. ; --Cemeteries--France--Fouilloy (Somme) ; --Cemeteries--France--Villers-Bretonneux. ; --World War, 1914-1918--Registers of dead--France--Somme. ; --World War, 1914-1918--Registers of dead--France--Fouilloy (Somme) ; --World War, 1914-1918--Registers of dead--France--Villers-Bretonneux.",,,,,,,,
Great Britain.Imperial War Graves Commission.,"The war graves of the British Empire :the register of those who fell in the Great War and are buried in Bronfay Farm Military Cemetery, Bray-sur-Somme, Devonshire Cemetery and Gordon Cemetery, Mamets, France /compiled and published by order of the Imperial War Graves Commission, London.",,"London, England :Imperial War Graves Commission,1927.","43 p. :map, 2 plans ;25 cm.",At head of cover title: France 329-331.,,,,"Bronfay Farm Military Cemetery (Bray-sur-Somme, France) ; --Devonshire Cemetery (Mametz, France) ; --Gordon Cemetery (Mametz, France)","World War, 1914-1918--Registers of dead--Commonwealth countries. ; --World War, 1914-1918--Registers of dead--France--Mametz. ; --World War, 1914-1918--Registers of dead--France--Bray-sur-Somme. ; --Cemeteries--France--Bray-sur-Somme. ; --Cemeteries--France--Mametz.",,,,,,,,
"Wilson, H. W.(Herbert Wrigley),1866-1940 ",The war guilt /by H.W. Wilson,,"London :Sampson Low, Marston,<1928?>","xxiii, 366 p. :8 ports. ;24 cm.",Includes index.,,,,Germany.--Kriegsmarine--History,"World War, 1914-1918--Causes ; --World War, 1914-1918--Diplomatic history ; --World War, 1914-1918--Germany",Germany--Foreign relations--1871-1918,,,,,,,
"Liddell Hart, Basil Henry,Sir,1895-1970 ","The war in outline, 1914-1918 /by Liddell Hart",,"London :Faber and Faber,1936","xvii, 259 p. :maps (some folded) ;20 cm.",,Includes index.,,,,"World War, 1914-1918",,,,,,,,
"Raleigh, Walter Alexander,Sir,1861-1922 ",The war in the air :being the story of the part played in the Great War by the Royal Air Force,,"Oxf. :Clarendon Pr.,1922-1937","7 v. in 9 :illus., maps, tables ;23 cm.",<Vol. 3 and 5 are in 2 parts the second part of each being a bound case containing maps. Vol. 7 - Appendices.>,,,,Great Britain.--Royal Air Force,"World War, 1914-1918--Aerial operations, British",,,,,,,,
"Hartcup, Guy","The war of invention :scientific developments, 1914-18 /by Guy Hartcup",1st ed.,"London ;Washington :Brassey's Defence Publishers,1988","xii, 226, <31> p. of plates :ill ;24 cm.",Includes index.,,,,,"World War, 1914-1918--Technology ; --World War, 1914-1918--Science",,,,,80335918,,,
,The War pictorial.,,London :Illustrated London News & Sketch.,v. :ill. ;28 cm.,Description based on: Sept. 1917.,,,,,"World War, 1914-1918--Great Britain--Pictorial works. ; --World War, 1914-1918--Great Britain--Periodicals.",,,,,,,,
"Giddings, Robert,1935- ",The war poets /Robert Giddings,,"London :Bloomsbury,1988","191 p. :ill., facsims. (some col.), ports ;25 cm.","Poetry in English,. 1900-1945. Special subjects: World War 1. - Critical studies (BNB/PRECIS) ; Includes index.",,,,,"World War, 1914-1918--Literature and the war ; --English poetry--20th century--History and criticism ; --War poetry, English--History and criticism",,,,,747501459,,,
"Dean, E. T. ","The war service record of the first Australian field artillery brigade, 1914-1919.",,"Adelaide :W. H. Thomas & Co.,1919.","247 p., [2] leaves of plates :ill., folded maps ;22 cm.",,,,,"Australia.--Army.--Field Artillery Brigade, 1st--History.","World War, 1914-1918--Regimental histories--Australia.",,,,,,,,
"Woodward, O. H.(Oliver Holmes),1895-1966. ","The war story of Oliver Holmes Woodward, Captain 1st Australian Tunnelling Company, Australian Imperial Force.",,"[Adelaide :O.H. Woodward,1932](Adelaide :MacDougalls)","171 p. :maps, plans ;26 cm.","""This story has been written for private circulation only.""",,,"Woodward, O. H.--(Oliver Holmes),--1895-1966.","Australia.--Army.--Tunnelling Company, 1st.","World War, 1914-1918--Personal narratives, Australian.",,,,,,,,
