RECORD #(BIBLIO),RECORD URL,XML,NAME,TITLE,DATES/PUBLICATION DETAILS,DESCRIPTION/QUANTITY,SUMMARY,SUBJECT,SERIES/COLLECTION,IMAGE
b21480539,http://www.catalog.slsa.sa.gov.au/record=b2148053,http://www.catalog.slsa.sa.gov.au/xrecord=b2148053,,George Pegler,1917,photograph  13.5 x 9.5 cm,"Service number 18488 George Bentley Pegler, a staff member of the South Australian Harbors Board. George enlisted in the AIF on 26 October 1917 and served in France with the Australian Army Medical Corps. He returned to Australia in 1919. From 1923 to his death in 1950 he held the position of Harbourmaster at Cowell.","Pegler, George Bentley, 1897-1950;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Searcy Collection;Portrait Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_265.htm
b21480722,http://www.catalog.slsa.sa.gov.au/record=b2148072,http://www.catalog.slsa.sa.gov.au/xrecord=b2148072,,South Australian warrant officers outside quarters,[approximately 1911],photograph  15 x 20 cm,"South Australian training staff beside a brick building at the Exhibition Camp. The man seated on the right has been identified as Robert Valentine Whitehorn  the one standing on the right is Albert Sidney Alexander Kenney. This photo was published in 'The Observer', Saturday 28 August 1915, page 28, under the general heading 'Responded to the call - recruiting and military camps'. The caption under the photo reads: 'Instructors, Exhibition Camp. - Standing (left to right) - S.S.M.'s Smith, Blight, Patterson, Chinner, Grenfell, Beverley, Young, Kenny. Sitting S.S.M.'s Durrant, Mercer, Bacon, Jameson, Fox, Whitehorn'.","Soldiers;World War, 1914-1918;Military uniforms",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_284.htm
b21480734,http://www.catalog.slsa.sa.gov.au/record=b2148073,http://www.catalog.slsa.sa.gov.au/xrecord=b2148073,,Public welcome for returned soldiers in the Adelaide Town Hall.,1915,photograph  15 x 20 cm,"Mayor of Adelaide, Alfred A. Simpson, addressing a public welcome for returned soldiers in the Adelaide Town Hall, Friday 27 August 1915.  He is addressing an audience from the stage where wounded Gallipoli veterans and other dignitaries sit  flags are draped on the organ and on the walls in the background.","Simpson, Alfred Allen, 1875-1939;Mayors -- South Australia;World War, 1914-1918;Soldiers",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_286.htm
b21480746,http://www.catalog.slsa.sa.gov.au/record=b2148074,http://www.catalog.slsa.sa.gov.au/xrecord=b2148074,,Long lines of army recruits still wearing civilian clothes assembled in Adelaide during World War I,[approximately 1916],photograph  15 x 20 cm,"Long lines of army recruits still wearing civilian clothes assembled in Adelaide, Jubilee Camp, (now University of Adelaide site) during World War I.","Recruiting and enlistment;World War, 1914-1918",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_287.htm
b21480758,http://www.catalog.slsa.sa.gov.au/record=b2148075,http://www.catalog.slsa.sa.gov.au/xrecord=b2148075,,"A military band leading South Australian soldiers as they make a farewell march along King William Street, Adelaide",[approximately 1914],photograph  15 x 20 cm,"A military band leading South Australian soldiers as they make a farewell march along King William Street, Adelaide before going overseas during World War I  large crowds line the roadside on both sides.","World War, 1914-1918;Soldiers",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_288.htm
b21480965,http://www.catalog.slsa.sa.gov.au/record=b2148096,http://www.catalog.slsa.sa.gov.au/xrecord=b2148096,,Two uniformed soldiers supporting a third who has a heavily bandaged foot,[approximately 1915],photograph  15 x 11 cm,"Two uniformed soldiers supporting a third who has a heavily bandaged foot, described as a returned soldier.","Soldiers;World War, 1914-1918",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_309.htm
b21481167,http://www.catalog.slsa.sa.gov.au/record=b2148116,http://www.catalog.slsa.sa.gov.au/xrecord=b2148116,,A uniformed soldier holding a small boy in his arms standing near a train at Outer Harbor,1918,photograph  15 x 20 cm,"A uniformed soldier holding a small boy in his arms standing near a train at Outer Harbor with a young couple identified as Mr. and Mrs. E.L.A. Lindsay and an elderly women, possibly a welcome home.","World War, 1914-1918;Costume;Soldiers;Outer Harbor (S.A.)",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_331.htm
b21481246,http://www.catalog.slsa.sa.gov.au/record=b2148124,http://www.catalog.slsa.sa.gov.au/xrecord=b2148124,,A military band leading South Australian soldiers as they make a farewell march along King William Street,[approximately 1914],photograph  15 x 20 cm,"A military band leading South Australian soldiers as they make a farewell march along King William Street, Adelaide before going overseas in World War I  large crowds line the roadside on both sides.","World War, 1914-1918;Soldiers",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_339.htm
b21481258,http://www.catalog.slsa.sa.gov.au/record=b2148125,http://www.catalog.slsa.sa.gov.au/xrecord=b2148125,,"A crowded King William Street, Adelaide watching a parade of patriotic displays during World War I",[approximately 1914],photograph  15 x 20 cm,"A crowded King William Street, Adelaide watching a parade of patriotic displays during World War I.","World War, 1914-1918;Parades",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_340.htm
b21481751,http://www.catalog.slsa.sa.gov.au/record=b2148175,http://www.catalog.slsa.sa.gov.au/xrecord=b2148175,,"Soldiers of the 6th platoon, 32nd battalion at Cheltenham",[approximately 1914],photograph  15 x 20 cm,"Soldiers of the 6th platoon, 32nd battalion at Cheltenham, a formal group with the South Australian World War I fundraiser Sammy Lunn sitting centre front. This photo appeared in 'The Observer', Saturday 13 November 1915, page 28, with the generic caption 'six platoons of the 32nd Battalion in camp at Cheltenham, which will shortly leave for the front'.","Lunn, Sammy, 1865-1923;Australia. Army. Battalion, 32nd;Australia. Army. Australian Imperial Force (1914-1921);World War, 1914-1918 -- South Australia;World War, 1914-1918 -- Participation, Australian;Soldiers -- South Australia;Cheltenham (S.A.)",Searcy Collection,http://collections.slsa.sa.gov.au/searcy/03/PRG280_1_3_393.htm
b21645139,http://www.catalog.slsa.sa.gov.au/record=b2164513,http://www.catalog.slsa.sa.gov.au/xrecord=b2164513,,[Communication trench at Gallipoli],1915,"1 photograph : black and white   6.6 x 8.9 cm, on sheet 20.3 x 24.9 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier",Black and white photograph of a communication trench at Gallipoli. Two soldiers are standing in the trench. Date 1915. Image set on a sheet amongst three others.,"World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;World War, 1914-1918 -- Trench warfare.;Gallipoli Peninsula (Turkey).",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/19/PRG381_19_2.htm
b21645140,http://www.catalog.slsa.sa.gov.au/record=b2164514,http://www.catalog.slsa.sa.gov.au/xrecord=b2164514,,[Anzac Cove - looking north],1915,"1 photograph : black and white   6.4 x 8.7 cm, on sheet 20.3 x 24.4 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of Anzac Cove, Gallipoli, with the caption 'looking north'. Image on a sheet titled 'Anzac Beach', set amongst three others.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;Anzac Cove (Turkey).",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/18/PRG381_18_3.htm
b21645152,http://www.catalog.slsa.sa.gov.au/record=b2164515,http://www.catalog.slsa.sa.gov.au/xrecord=b2164515,,[Anzac Cove - looking south],1915,"1 photograph : black and white   6.4 x 8.7 cm, on sheet 20.3 x 24.4 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of Anzac Cove, Gallipoli, with the caption 'looking south'. The photograph looks along a line of single axle carts at rest on the beach, with a soldier and horses at the far end. Image on a sheet titled 'Anzac Beach', set amongst three others.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;Anzac Cove (Turkey).",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/18/PRG381_18_4.htm
b21645164,http://www.catalog.slsa.sa.gov.au/record=b2164516,http://www.catalog.slsa.sa.gov.au/xrecord=b2164516,,[Anzac Cove],1915,"1 photograph : black and white   6.4 x 8.7 cm, on sheet 20.3 x 24.4 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of Anzac Cove, Gallipoli, showing an encampment with tents surrounded by sandbags, and several soldiers. The photograph caption reads 'Anzac Cove.  4th Aust. Field Ambulance'. Image on a sheet titled 'Anzac Beach', set amongst three others.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;Camps -- Turkey -- Gallipoli Peninsula.;Soldiers -- Turkey -- Gallipoli Peninsula.",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/18/PRG381_18_1.htm
b21645176,http://www.catalog.slsa.sa.gov.au/record=b2164517,http://www.catalog.slsa.sa.gov.au/xrecord=b2164517,,[Anzac Cove],1915,1 photograph : black and white   9 x 13.6 cm;text txt rdacontent;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier,"Annotated black and white photograph captioned 'Landing at Gallipoli, Anzac 1915'. It shows Anzac Cove,looking north, with people walking along the beach, landing craft and piles of unidentified goods.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;Anzac Cove (Turkey).",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/PRG381_16.htm
b21645188,http://www.catalog.slsa.sa.gov.au/record=b2164518,http://www.catalog.slsa.sa.gov.au/xrecord=b2164518,,[Anzac Cove],1915,1 photograph : black and white   9 x 13.6 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier,"Black and white photograph of Anzac Cove, showing ships, troops and cargo. Caption on reverse reads 'Anzac Beach - nearly all available space taken with stores. Gallipoli, 1915'.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;Anzac Cove (Turkey).",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/PRG381_17.htm
b2164519x,http://www.catalog.slsa.sa.gov.au/record=b2164519,http://www.catalog.slsa.sa.gov.au/xrecord=b2164519,,[Dug-outs with soldiers standing outside],1915,"1 photograph : black and white   6.4 x 8.7 cm, on sheet 20.3 x 24.9 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of dug-outs believed to be taken near Anzac Cove, with soldiers standing outside. Date 1915. Image set on a sheet amongst three others.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;Dwellings -- Turkey -- Gallipoli Peninsula.",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/20/PRG381_20_2.htm
b21645206,http://www.catalog.slsa.sa.gov.au/record=b2164520,http://www.catalog.slsa.sa.gov.au/xrecord=b2164520,,[Rosebud Villa],1915,"1 photograph : black and white   6.3 x 8.6 cm, on sheet 20.3 x 24.9 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier",Black and white photograph of a group of soldiers sitting outside a dug-out lined with sandbags. The caption reads 'Rosebud Villa'. Image set on a sheet amongst three others.,"Dwellings -- Turkey -- Gallipoli Peninsula;World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/20/PRG381_20_4.htm
b21645218,http://www.catalog.slsa.sa.gov.au/record=b2164521,http://www.catalog.slsa.sa.gov.au/xrecord=b2164521,,[Stretcher bearers],1915,"1 photograph : black and white   7 x 9 cm, on sheet 20.3 x 24.9 cm;RESERVE 1;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of stretcher bearers, believed to be located in the Anzac Cove area.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;World War, 1914-1918 -- Medical care.",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/23/PRG381_23_4.htm
b2164522x,http://www.catalog.slsa.sa.gov.au/record=b2164522,http://www.catalog.slsa.sa.gov.au/xrecord=b2164522,,[A 'sap' with several soldiers sitting in it],1915,"1 photograph : black and white   9.5 x 7 cm, on sheet 20.4 x 24.9 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of a 'sap', a listening post consisting of a shallow, narrow and often disguised position somewhat in advance of the front trench line, and area often referred to as No Man's Land. Several soldiers can be seen  sitting in the trench holding equipment. The caption for the original photograph reads 'A ""T"" Sap, Walker's Ridge."" Image set on a sheet amongst three others.","World War, 1914-1918 -- Trench warfare.;World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/23/PRG381_23_3.htm
b21645231,http://www.catalog.slsa.sa.gov.au/record=b2164523,http://www.catalog.slsa.sa.gov.au/xrecord=b2164523,,[Hospital at Hotchkiss Gully],1915,"1 photograph : black and white   6.5 x 8.9 cm, on sheet 20.3 x 24.9 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of a makeshift tent 'Hospital at Hotchkiss Gully', a small gully running southwards from Hay Valley in the Northern Anzac sector. Image set on a sheet amongst three others.","Military hospitals -- Turkey -- Gallipoli Peninsula.;World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;Hotchkiss Gully (Gallipoli Peninsula, Turkey).",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/22/PRG381_22_3.htm
b21645243,http://www.catalog.slsa.sa.gov.au/record=b2164524,http://www.catalog.slsa.sa.gov.au/xrecord=b2164524,,[A dug-out at Gallipoli],1915,"1 photograph : black and white   6.5 x 8.9 cm, on sheet 20.3 x 24.9 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of a dug-out cut into the side of a hill, with several soldiers outside. Location not specified on the original photograph, but believed to be near Anzac Cove. Date 1915. Image set on a sheet amongst three others.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;Dwellings -- Turkey -- Gallipoli Peninsula.",South Australians at War.,http://collections.slsa.sa.gov.au/prg/381/21/PRG381_21_1.htm
b21645255,http://www.catalog.slsa.sa.gov.au/record=b2164525,http://www.catalog.slsa.sa.gov.au/xrecord=b2164525,,[Interior of a dug-out],1915,"1 photograph : black and white   6.5 x 8.9 cm, on sheet 20.3 x 24.9 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of the 'interior of a dug-out' showing a soldier sitting at a small table, with pictures pinned to cloth on the walls. Location not specified on the original photograph, but believed to be near Anzac Cove.","Soldiers -- South Australia;World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula.;World War, 1914-1918 -- South Australia;Dwellings -- Turkey -- Gallipoli Peninsula.",South Australians at War.;Portrait Collection,http://collections.slsa.sa.gov.au/prg/381/21/PRG381_21_2.htm
b21645267,http://www.catalog.slsa.sa.gov.au/record=b2164526,http://www.catalog.slsa.sa.gov.au/xrecord=b2164526,,[Walker's Ridge],1915,1 photograph : black and white   9 x 13.7 cm;text txt rdacontent;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier,"Black and white photograph of Walker's Ridge, located north of Anzac Cove, Gallipoli, showing the rough terrain of the area. Dated 1915.","World War, 1914-1918 -- Campaigns -- Turkey -- Gallipoli Peninsula;Walkers Ridge (Turkey)",South Australians at War,http://collections.slsa.sa.gov.au/resource/PRG+381/1
b21646338,http://www.catalog.slsa.sa.gov.au/record=b2164633,http://www.catalog.slsa.sa.gov.au/xrecord=b2164633,,[Nurse Irene Bonnin's luggage],1915,"1 photograph : black and white   11.5 x 15.4 cm, on sheet 12.7 x 17.9 cm;RESERVE 1;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","Black and white photograph of the luggage and equipment taken by Nurse Irene Bonnin when she left Adelaide for duty in the Australian General Hospital, Cairo, Egypt in 1915.","Bonnin, Irene, 1884-1971.;World War, 1914-1918.;Nurses -- Australia -- History -- 20th century.;Luggage -- South Australia",South Australians at War,http://collections.slsa.sa.gov.au/resource/PRG+621/23/3
b2164634x,http://www.catalog.slsa.sa.gov.au/record=b2164634,http://www.catalog.slsa.sa.gov.au/xrecord=b2164634,,Nurse Irene Bonnin,1915,1 photograph : toned   9 x 6.5 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier,"Toned photograph of Nurse Irene Bonnin on the balcony of the Hellipolis Hotel in Cairo, 1915. Another copy found in the first album reads 'myself on balcony when sharing a room with Thompson'.","Bonnin, Irene, 1884-1971.;World War, 1914-1918.;Nurses -- Australia -- History -- 20th century.",South Australians at War.,http://collections.slsa.sa.gov.au/resource/PRG+621/23/2
b22208045,http://www.catalog.slsa.sa.gov.au/record=b2220804,http://www.catalog.slsa.sa.gov.au/xrecord=b2220804,"Allison, Walter Henry, 1894-1984",Photographs,approximately 1916-1919,1 cm;RESERVE 1;Photograph (B&W print)  photograph (B&W postcard),"Photographs, mostly pocket-sized snapshots and cards, sent to W.H. Allison from family members and fellow soldiers during the war. Also photos sent by Allison  to his family members. The images, mostly uncaptioned, include his sister, Florence Emma Elizabeth (b.1906)  a crowd observing fire damage to the Wallaroo Town Hall  interior and exterior views of hospitals in France and England where Allison recovered from war injuries  hospital staff  bedridden soldiers, including Allison, with their embroidered samplers on display (PRG 1471/5/31-33)  men with crutches and walking sticks exercising after a snowfall  Australian Hospital Ship, 'Karoola'  and Allison in uniform, with walking stick, after his return to Australia on the 'Karoola'.","Allison, Walter Henry, 1894-1984;Soldiers -- South Australia -- Milang;Australia. Army. Australian Imperial Force (1914-1921);World War, 1914-1918 -- Campaigns -- France",,http://collections.slsa.sa.gov.au/resource/PRG+1471/5
b22218440,http://www.catalog.slsa.sa.gov.au/record=b2221844,http://www.catalog.slsa.sa.gov.au/xrecord=b2221844,"Smith, W. S., photographer.","Soldiers marching, King William Street, Adelaide",[approximately 1917],"1 photograph : black and white   15.3 x 20.5 cm, on mount 24.5 x 30.3 cm;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier","A column of soldiers marching north down King William Street past the Criterion Hotel and the General Post Office. A soldier behind his commanding officer, giving the salute, holds his battalion's colours. Crowds are watching from the street edges and flags are flying from the Criterion's balcony verandah. (C. Whallin was publican of the Criterion Hotel from 1914-1920.) Two tramcars can be seen in front of the GPO. A researcher has suggested that this is the 20th Reinforcement of the 27th Battalion, and that the officer at the front of the column is Lieutenant John Lindsay Ross.","Australia. Army. Battalion, 27th;Australia. Army. Australian Imperial Force (1914-1921);Soldiers -- South Australia -- Adelaide;Marches -- South Australia -- Adelaide;World War, 1914-1918 -- South Australia;World War, 1914-1918 -- Participation, Australian",Potts Collection,http://collections.slsa.sa.gov.au/prg/1361/20/PRG1361_20_10.htm
b22218476,http://www.catalog.slsa.sa.gov.au/record=b2221847,http://www.catalog.slsa.sa.gov.au/xrecord=b2221847,,Frank Reginald Potts,[approximately 1917],Photograph (B&W print)  14 cm x 8.9 cm on mount 19 cm x 14 cm,"Frank Reginald Potts, son of Frank Potts II of 'Bleasdale', Langhorne Creek in his Army uniform. He enlisted in the 20th Reinforcement, 27th Battalion in April 1917 and after training in England arrived in France in April 1918. He returned home to Langhorne Creek in January 1919 where he died six months later, in August 1919.","Potts, Frank Reginald, 1897-1919;Soldiers -- South Australia -- Adelaide;World War, 1914-1918 -- South Australia",Potts Collection;Portrait Collection,http://collections.slsa.sa.gov.au/prg/1361/20/PRG1361_20_11.htm
b22221396,http://www.catalog.slsa.sa.gov.au/record=b2222139,http://www.catalog.slsa.sa.gov.au/xrecord=b2222139,,Postcard from France (letter on reverse),1918,Photograph  13.6 cm x 8.5 cm,"Letter to Wallie (W.H. Allison) from Jeanne Muselet, aged seven, of Hesdin L'Abbe, France, near Calais, written in French on the reverse of a postcard dated 22 May 1918. Translated it reads 'Dear Wallie, Forgive me for not having replied sooner. I was pleased to receive your little card safely. I lost your address.  I am glad to know that you are well. Everyone here is well. I send you my best wishes.  A small card will please me so much. Your friend Jeanne [Joan] Muselet'. To view the front of the postcard SEE PRG 1471/5/19.","Allison, Walter Henry, 1894-1984;Muselet, Jeanne;World War, 1914-1918 -- France;World War, 1914-1918 -- South Australia;Soldiers -- South Australia -- Correspondence",Allison Collection,http://collections.slsa.sa.gov.au/prg/1471/5/PRG1471_5_19a.htm
b22329961,http://www.catalog.slsa.sa.gov.au/record=b2232996,http://www.catalog.slsa.sa.gov.au/xrecord=b2232996,"Hammer & Co., photographer",Nurses Doris Brinsley and Dorothy Rodgers,approximately 1916,Photograph (B&W print)  13.6 cm x 9.6 cm,"Studio portrait of Army nurses Sister Doris Brinsley [probably the one on left] and Sister Dorothy Rodgers. Both are wearing the full Army nurses uniform. Doris Brinsley was born 18 September 1892, daughter of George Arthur Brinsley and Anna Rosina nee Wilcox. She enlisted 18 June 1917 at Adelaide and embarked for overseas 9 November 1917. She left the service 18 February 1920.","Rodgers, Dorothy M. E.;Brinsley, Doris A. H.;Nurses;World War, 1914-1918 -- Australia -- Participation, Female;Military nursing -- Australia -- 20th century",Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/71250/B71124.htm
b23134896,http://www.catalog.slsa.sa.gov.au/record=b2313489,http://www.catalog.slsa.sa.gov.au/xrecord=b2313489,"Rogers, George A., photographer",Stringer brothers of Sherlock,[approximately 1916],Photograph   11cm x 17cm,"Three sons of Stephen and Emma Stringer who enlisted during WWI. L-R No. 3907 Private Arthur Clarence (Clarry) Stringer of 2nd Division Cyclist Corps, No. 2366 L/Cpl Robert Henry (Henry) Stringer of the 3rd Light Horse Regiment, and No. 180 Private Alfred George (Alf) Stringer of the 43rd Infantry Battalion, Wounded in Action, France, 31 July 1917.","Stringer, Arthur Clarence, 1892-1960;Stringer, Alfred George, 1894-1973;Stringer, Robert Henry, 1888-1971;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/71500/B71498.htm
b24443098,http://www.catalog.slsa.sa.gov.au/record=b2444309,http://www.catalog.slsa.sa.gov.au/xrecord=b2444309,,Soldiers on camels,[approximately 1916],Photograph (B&W print)  13.5 cm x 8.3 cm;RESERVE 1 a,"Left to right: Sergeant C.B. Lewis, Private G.W. Hart, Private Howard N. Kimber, Sergeant F.C. McArtney on leave in Egypt, with the Sphinx and one of the pyramids behind them. On the postcard was written: ""The tragedy will come later, but at present the spirit of the men is superb, and all are anxious to get to Gallipoli."" [from a postcard to Mr F.C. Kimber].","Hart, Geoffrey William;Kimber, Howard Noye 1891-1953;Lewis, Cecil Burrows, 1896-1916;McArtney, Frederick Charles;World War, 1914-1918 -- Egypt -- Cairo;Soldiers -- South Australia",Kimber Collection;General Collection,http://collections.slsa.sa.gov.au/mpcimg/29250/B29060.htm
b26976080,http://www.catalog.slsa.sa.gov.au/record=b2697608,http://www.catalog.slsa.sa.gov.au/xrecord=b2697608,,Postcard photo of Cheer Up Concert Party,1917,Photograph (B&W print)  8.7 cm x 13.8 cm,"A photograph, dated 1917, bearing the title 'Cheer Up Concert Party'. Standing (from left): Pte Crisp, Pte Bradley, Sgt Gray, Tpr Symons, Cpl Wooding. Seated (from left): Mr L.W. Yemm (Manager), Pte Scragg (Advance) Sam Stanley (Treasurer). Sam Stanley was the stage name of Samuel George Forrester.","World War, 1914-1918",,http://collections.slsa.sa.gov.au/mpcimg/72250/B72168.htm
b27125804,http://www.catalog.slsa.sa.gov.au/record=b2712580,http://www.catalog.slsa.sa.gov.au/xrecord=b2712580,,Welcome home gathering for Walter Paech,1918,Photograph (B&W print)  10.3 cm x 15.3 cm,"Outdoor photograph of a group of men and one young boy. The man in the middle is wearing an Australian Army uniform. From the back of the photograph: Walter Paech (Welcome Home). Son of J.F.W. Paech, Main Street, Hahndorf. Local boys, Dick Borchardt, Norman Paech, Temme, Wittner, Bonemann, Edwin Nitschke. Dec 30th 1918.","Paech, Walter Albert;Soldiers -- South Australia -- Hahndorf;World War, 1914-1918",General Collection,http://collections.slsa.sa.gov.au/mpcimg/72250/B72219.htm
b27586534,http://www.catalog.slsa.sa.gov.au/record=b2758653,http://www.catalog.slsa.sa.gov.au/xrecord=b2758653,,"Aussies National Game, Two up, Hurdcott Camp.",1914-1918,Photograph (B&W)  13.0 x 9.0 cm;RESERVE 1 album,"Comprising a black and white image of men playing Two-up on camp grounds. The image has been inscribed 'Aussies National Game, Two up, Hurdcott Camp'. On the hill in the background there can be seen an outline of the word 'Australia' within a drawing outline of the Australian continent.","World War, 1914-1918 -- Participation, Australian;Two-up (Game)",,http://collections.slsa.sa.gov.au/mpcimg/72500/B72281.htm
b27586947,http://www.catalog.slsa.sa.gov.au/record=b2758694,http://www.catalog.slsa.sa.gov.au/xrecord=b2758694,,Major H.V.S. Carey,[approximately 1914-1918],Photograph (B&W)  13.0 x 9.0 cm,Comprising a black and white portrait of four servicemen. Major HVS Carey in second from right.,"World War, 1914-1918",,http://collections.slsa.sa.gov.au/mpcimg/72500/B72284.htm
b27590124,http://www.catalog.slsa.sa.gov.au/record=b2759012,http://www.catalog.slsa.sa.gov.au/xrecord=b2759012,,Staff Nurse O'Connell,1915,Photograph (B&W postcard)   13.3 cm x 8.7 cm,"Photograph of 'Staff Nurse O'Connell and some of ""her boys"", 1st wounded from Gaba Tepe', 'Heliopolis June 11th 1915'. Possibly taken at Keswick Military Hospital as post marks on verso are all local.","Nurses -- South Australia;Military nursing -- Australia;World War, 1914-1918 -- Medical care;World War, 1914-1918 -- Women -- South Australia",General Collection,http://collections.slsa.sa.gov.au/resource/B+72311
b27605310,http://www.catalog.slsa.sa.gov.au/record=b2760531,http://www.catalog.slsa.sa.gov.au/xrecord=b2760531,,Mount Barker Boys at the Front,[approximately 1916],Photograph (B&W)  13.3 cm x 8.7 cm;RESERVE 1 a,"Photographs of faces of Mount Barker men who enlisted for service in World War One, with a photo of a Lieutenant Laurie at the top, printed on a postcard. Their names are: B. Westley, A. Evans, S. Westley, T. Murphy, T. Stokes, H.D. Neate, L.E. Cook, J. Johnson, A.L. Cook, L. White, N. Cameron and L. Scott. (see 'History' note for further details.).","Soldiers -- South Australia -- Mount Barker Region;World War, 1914-1918 -- South Australia -- Mount Barker;Mount Barker (S.A.)",Mount Barker Collection,http://collections.slsa.sa.gov.au/mpcimg/72500/B72452.htm
b28254430,http://www.catalog.slsa.sa.gov.au/record=b2825443,http://www.catalog.slsa.sa.gov.au/xrecord=b2825443,,Private Francis Stokes and friends,1914,"Photograph (B&W print)  16 cm x 11.4 cm (image), 25 cm x 21.5 cm (mount);RESERVE 1 a","Private Francis Stokes (second from left, killed in action 25 April 1915) and the group of friends with whom he enlisted for service in the First World War. Others include Sgt. J.R. Gordon (promoted to Lieutenant August 1915, returned to Australia October 1915)  Private G. Fisher (Commission in Royal Garrison Artillery)  Private E.D. Meldrum (invalided to Egypt)  Private P. de Q. Robin (promoted Lance Corporal in Egypt, in charge scouts, killed in action 28 April)  Private T.A. Whyte (died of wounds, 30 April 1915)  Private A.S. Blackburn (promoted Lieutenant August 1915)  Private W.O. Jose (promoted Lieutenant January 1916, attached 50th Battalion)  Private M. Teesdale Smith (killed in action 25 April). Absent from the photograph is Private A.A. Smith who was promoted Sergeant and returned to Australia March 1915.","Gordon, John Rutherford, 1895-1978;Stokes, Francis Herbert, 1890-1915;Fisher, Guy, 1890-1968;Meldrum, Eric Douglas, 1892-1922;Robin, Philip de Quetteville, 1884-1915;Whyte, Thomas Anderson, 1886-1915;Blackburn, Arthur Seaforth, 1892-1960;Jose, Wilfred Oswald, 1895-1917;Teesdale-Smith, Malcolm St. Aiden;World War, 1914-1918 -- Participation, Australian;World War, 1914-1918 -- Campaigns;World War, 1914-1918 -- South Australia",General Collection,http://collections.slsa.sa.gov.au/mpcimg/72750/B72504.htm
